Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Club Concept Restaurant,Kegalle,"RANDENIYA, HIRIWADUNNA, KEGALLE",Restaurants,,"Club Concept Restaurant is a Restaurants located in Kegalle. Address: RANDENIYA, HIRIWADUNNA, KEGALLE."
Gimhan Restaurant,Colombo 09,"NO. 259/1/1, DANISTER DE SILVA MAWATHA, COLOMBO 09",Restaurants,,"Gimhan Restaurant is a Restaurants located in Colombo 09. Address: NO. 259/1/1, DANISTER DE SILVA MAWATHA, COLOMBO 09."
Green View Hotel,Malsiripura,"NO. 06, SIRIPURA WATTA, DAMBULLA ROAD, MALSIRIPURA",Restaurants,,"Green View Hotel is a Restaurants located in Malsiripura. Address: NO. 06, SIRIPURA WATTA, DAMBULLA ROAD, MALSIRIPURA."
Hawai Restaurant & Pub,Battaramulla,"NO. 240/32/31 A, DENZIL KOBBEKADUWA MW, KOSWATTA, BATTARAMULLA",Restaurants,,"Hawai Restaurant & Pub is a Restaurants located in Battaramulla. Address: NO. 240/32/31 A, DENZIL KOBBEKADUWA MW, KOSWATTA, BATTARAMULLA."
Hotel Francis,Hikkaduwa,"NO. 389, GALLE ROAD, HIKKADUWA",Restaurants,,"Hotel Francis is a Restaurants located in Hikkaduwa. Address: NO. 389, GALLE ROAD, HIKKADUWA."
Kent Restaurant,Koswatta,"NO.270/2,KADUWELA ROAD,THALANGAMA NORTH,KOSWATTA",Restaurants,,"Kent Restaurant is a Restaurants located in Koswatta. Address: NO.270/2,KADUWELA ROAD,THALANGAMA NORTH,KOSWATTA."
Mangos,Colombo 03,"STALL NO. 1, CRESCAT BOULEVARD, GALLE ROAD, COLOMBO 03",Restaurants,,"Mangos is a Restaurants located in Colombo 03. Address: STALL NO. 1, CRESCAT BOULEVARD, GALLE ROAD, COLOMBO 03."
Maharaja Palace Restaurant,Colombo 07,"NO. 1/A, RAJAKEEYA MAWATHA, COLOMBO 07",Restaurants,,"Maharaja Palace Restaurant is a Restaurants located in Colombo 07. Address: NO. 1/A, RAJAKEEYA MAWATHA, COLOMBO 07."
Rajeei Restaurant,Jaffna,"RAMALINGAM ROAD, THIRUNELVELLY, JAFFNA",Restaurants,,"Rajeei Restaurant is a Restaurants located in Jaffna. Address: RAMALINGAM ROAD, THIRUNELVELLY, JAFFNA."
Ralidiya Restaurant,Rambukkana,"PINNAWALA, RAMBUKKANA",Restaurants,,"Ralidiya Restaurant is a Restaurants located in Rambukkana. Address: PINNAWALA, RAMBUKKANA."
New Ranro Restaurant,Pilimatalawa,"NO. 462, COLOMBO ROAD, PILIMATALAWA",Restaurants,,"New Ranro Restaurant is a Restaurants located in Pilimatalawa. Address: NO. 462, COLOMBO ROAD, PILIMATALAWA."
Ranviyana Restaurant,Padukka,"NO. 319/A/01, HIGHLEVEL ROAD, GALAGEDERA, PADUKKA",Restaurants,,"Ranviyana Restaurant is a Restaurants located in Padukka. Address: NO. 319/A/01, HIGHLEVEL ROAD, GALAGEDERA, PADUKKA."
New Ransilu Restaurant,Colombo 05,"NO. 436/73, ELVITIGALA MAWATHA, COLOMBO 05",Restaurants,,"New Ransilu Restaurant is a Restaurants located in Colombo 05. Address: NO. 436/73, ELVITIGALA MAWATHA, COLOMBO 05."
Rhythm & Blues,Colombo 04,"NO. 19/1A, DAISY VILLA AVENUE.,DUPLICATION ROAD,COLOMBO 04",Restaurants,,"Rhythm & Blues is a Restaurants located in Colombo 04. Address: NO. 19/1A, DAISY VILLA AVENUE.,DUPLICATION ROAD,COLOMBO 04."
The Den,Colombo 03.,"NO.418/1/1,1ST FLOOR,GALLE ROAD,COLOMBO 03.",Restaurants,,"The Den is a Restaurants located in Colombo 03.. Address: NO.418/1/1,1ST FLOOR,GALLE ROAD,COLOMBO 03.."
The White Rose Tourist Restaurant,Negombo,"PORUTOTA ROAD, ETTUKALA, NEGOMBO",Restaurants,,"The White Rose Tourist Restaurant is a Restaurants located in Negombo. Address: PORUTOTA ROAD, ETTUKALA, NEGOMBO."
Tiverton Chinese Restaurant,Kandy,"NO. 225, COLOMBO STREET, KANDY",Restaurants,,"Tiverton Chinese Restaurant is a Restaurants located in Kandy. Address: NO. 225, COLOMBO STREET, KANDY."
The Pavilion,Colombo-07,"NO. 100/10, INDEPENDENCE AVENUE,COLOMBO-07",Restaurants,,"The Pavilion is a Restaurants located in Colombo-07. Address: NO. 100/10, INDEPENDENCE AVENUE,COLOMBO-07."
The Station S.U.N,Dehiwala,"NO. 41/1, WASALA RD, DEHIWALA",Restaurants,,"The Station S.U.N is a Restaurants located in Dehiwala. Address: NO. 41/1, WASALA RD, DEHIWALA."
Pubs And Places-Nawala,Nugegoda.,"NO. 277/3/1,STANLEY THILAKARATHNE MAWATHA,NUGEGODA.",Restaurants,,"Pubs And Places-Nawala is a Restaurants located in Nugegoda.. Address: NO. 277/3/1,STANLEY THILAKARATHNE MAWATHA,NUGEGODA.."
Shanghai Terrace,Ethul Kotte,"811, KOTTE ROAD, ETHUL KOTTE",Restaurants,,"Shanghai Terrace is a Restaurants located in Ethul Kotte. Address: 811, KOTTE ROAD, ETHUL KOTTE."
Golden Mermaid Hotels,Bentota,"359,GALLE ROAD,WARAHENA ,BENTOTA",Restaurants,,"Golden Mermaid Hotels is a Restaurants located in Bentota. Address: 359,GALLE ROAD,WARAHENA ,BENTOTA."
Ambepussa Avanhala,Warakapola,"AMBEPUSSA,WARAKAPOLA",Restaurants,,"Ambepussa Avanhala is a Restaurants located in Warakapola. Address: AMBEPUSSA,WARAKAPOLA."
Arpico Food Court,Kandy,"679,PERADENIYA RD,KANDY",Restaurants,,"Arpico Food Court is a Restaurants located in Kandy. Address: 679,PERADENIYA RD,KANDY."
Pubs And Places (Diyawanna),Kotuwegoda.,"NO 117,BUTHGAMUWA ROAD,KOTUWEGODA.",Restaurants,,"Pubs And Places (Diyawanna) is a Restaurants located in Kotuwegoda.. Address: NO 117,BUTHGAMUWA ROAD,KOTUWEGODA.."
Supipi Lanka Restaurant & Pub,Kalaniya,"765/B, THORANA JUNCTION, KANDY ROAD, KALANIYA",Restaurants,,"Supipi Lanka Restaurant & Pub is a Restaurants located in Kalaniya. Address: 765/B, THORANA JUNCTION, KANDY ROAD, KALANIYA."
Qbaa,Colombo - 05,"02,DE FONSEKA ROAD, COLOMBO - 05",Restaurants,,"Qbaa is a Restaurants located in Colombo - 05. Address: 02,DE FONSEKA ROAD, COLOMBO - 05."
Pubs And Places (Colombo),Colombo 07.,"43-2/1, MAITLAND CRESCENT,COLOMBO 07.",Restaurants,,"Pubs And Places (Colombo) is a Restaurants located in Colombo 07.. Address: 43-2/1, MAITLAND CRESCENT,COLOMBO 07.."
Oak Ray Restaurant.,Kandy.,"NO 09, 2ND RAJASINGHE MAWATHA, GATABE, KANDY.",Restaurants,,"Oak Ray Restaurant. is a Restaurants located in Kandy.. Address: NO 09, 2ND RAJASINGHE MAWATHA, GATABE, KANDY.."
S.K Resturant,Kilinochchi.,"URUTHIRAPURAM,PERIYAPARANTHAN,KILINOCHCHI.",Restaurants,,"S.K Resturant is a Restaurants located in Kilinochchi.. Address: URUTHIRAPURAM,PERIYAPARANTHAN,KILINOCHCHI.."
Beehive By Rnr,Colombo 07.,"MS 04,RACE COURSE,REID AVENUE,COLOMBO 07.",Restaurants,,"Beehive By Rnr is a Restaurants located in Colombo 07.. Address: MS 04,RACE COURSE,REID AVENUE,COLOMBO 07.."
Sensasia,Ragama,"NO 96/A/3,PERALANDA,RAGAMA",Restaurants,,"Sensasia is a Restaurants located in Ragama. Address: NO 96/A/3,PERALANDA,RAGAMA."
Sarava Village,Hikkaduwa,"NO. 609, GALLE ROAD, NARIGAMA, HIKKADUWA",Restaurants,,"Sarava Village is a Restaurants located in Hikkaduwa. Address: NO. 609, GALLE ROAD, NARIGAMA, HIKKADUWA."
Cleopatra Restaurant,Colombo 03,"NO. 250 B1, R.A.DE MEL MAWATHA, COLOMBO 03",Restaurants,,"Cleopatra Restaurant is a Restaurants located in Colombo 03. Address: NO. 250 B1, R.A.DE MEL MAWATHA, COLOMBO 03."
41 Sugar,Colombo 07.,"NO. 41 1/2, MAITLAND CRESCENT, COLOMBO 07.",Restaurants,,"41 Sugar is a Restaurants located in Colombo 07.. Address: NO. 41 1/2, MAITLAND CRESCENT, COLOMBO 07.."
Nipuna Restaurant (Alawwa),Alawwa,"NO. 372, COLOMBO ROAD, KAPUWARALA, ALAWWA",Restaurants,,"Nipuna Restaurant (Alawwa) is a Restaurants located in Alawwa. Address: NO. 372, COLOMBO ROAD, KAPUWARALA, ALAWWA."
Sovereign German Restuarant,Nugegoda,"NO. 157, NAWALA ROAD, NUGEGODA",Restaurants,,"Sovereign German Restuarant is a Restaurants located in Nugegoda. Address: NO. 157, NAWALA ROAD, NUGEGODA."
Beach Wadiya,Colombo 06,"NO. 02, STATION AVENUE, COLOMBO 06",Restaurants,,"Beach Wadiya is a Restaurants located in Colombo 06. Address: NO. 02, STATION AVENUE, COLOMBO 06."
Bars Cafe,Colombo 03,"NO. 24, DEAL PLACE, COLOMBO 03",Restaurants,,"Bars Cafe is a Restaurants located in Colombo 03. Address: NO. 24, DEAL PLACE, COLOMBO 03."
Ministry Of Crab,Colombo Fort,"SHOP 4, OLD DUTCH HOSPITAL BUILDING BANK OF CEYLON MAWATHA, COLOMBO FORT",Restaurants,,"Ministry Of Crab is a Restaurants located in Colombo Fort. Address: SHOP 4, OLD DUTCH HOSPITAL BUILDING BANK OF CEYLON MAWATHA, COLOMBO FORT."
Nippon Restaurant,Colombo 03,"NO.32,SRI MOHOMED MACAN MARKAR MAWATHA ,COLOMBO 03",Restaurants,,"Nippon Restaurant is a Restaurants located in Colombo 03. Address: NO.32,SRI MOHOMED MACAN MARKAR MAWATHA ,COLOMBO 03."
Grand Monarch,Thalawathugoda,"NO 527/7,BORELLA ROAD,THALAWATHUGODA",Restaurants,,"Grand Monarch is a Restaurants located in Thalawathugoda. Address: NO 527/7,BORELLA ROAD,THALAWATHUGODA."
Jo - Jos Place,Mount Lavinia,"NO. 43/6 A , DE ALWIS AVENUE , MOUNT LAVINIA",Restaurants,,"Jo - Jos Place is a Restaurants located in Mount Lavinia. Address: NO. 43/6 A , DE ALWIS AVENUE , MOUNT LAVINIA."
Rons Restaurant & Bar,Kiribathgoda,"NO. 160 , MAKOLA ROAD , KIRIBATHGODA",Restaurants,,"Rons Restaurant & Bar is a Restaurants located in Kiribathgoda. Address: NO. 160 , MAKOLA ROAD , KIRIBATHGODA."
The New Pan Restaurant,Wattala,"NO. 218/4 , NEGOMBO ROAD , WATTALA",Restaurants,,"The New Pan Restaurant is a Restaurants located in Wattala. Address: NO. 218/4 , NEGOMBO ROAD , WATTALA."
Tsing Tao,Colombo 7,"MS -5 FIRST FLOOR,RACE COURSE,REID AVENUE,COLOMBO 7",Restaurants,,"Tsing Tao is a Restaurants located in Colombo 7. Address: MS -5 FIRST FLOOR,RACE COURSE,REID AVENUE,COLOMBO 7."
Jack Tree Restaurant,Colombo 5,"NO:200,PARK ROAD,COLOMBO 5",Restaurants,,"Jack Tree Restaurant is a Restaurants located in Colombo 5. Address: NO:200,PARK ROAD,COLOMBO 5."
Mallika Trading Complex,Kengalla.,"KANDY ROAD,KENGALLA.",Restaurants,,"Mallika Trading Complex is a Restaurants located in Kengalla.. Address: KANDY ROAD,KENGALLA.."
Pubs And Places (Hikka Cafe),Hikkaduwa,"NO 317,GALLE ROAD,HIKKADUWA",Restaurants,,"Pubs And Places (Hikka Cafe) is a Restaurants located in Hikkaduwa. Address: NO 317,GALLE ROAD,HIKKADUWA."
New Blue Lagoon Resturant,Aluthgama,"NO 63/33,RANTHAMBILIGAHAWATTA,MORAGALLA,ALUTHGAMA",Restaurants,,"New Blue Lagoon Resturant is a Restaurants located in Aluthgama. Address: NO 63/33,RANTHAMBILIGAHAWATTA,MORAGALLA,ALUTHGAMA."
Vienna Karoke Bar And Restaurant,Colombo 3,"6A,6AY,ALFRED HOUSE ROAD,COLOMBO 3",Restaurants,,"Vienna Karoke Bar And Restaurant is a Restaurants located in Colombo 3. Address: 6A,6AY,ALFRED HOUSE ROAD,COLOMBO 3."
Tamarind Tree,Katunayaka,"NO:5,BASELINE ROAD,AVARIWATTA,KATUNAYAKA",Restaurants,,"Tamarind Tree is a Restaurants located in Katunayaka. Address: NO:5,BASELINE ROAD,AVARIWATTA,KATUNAYAKA."
Taphouse By R N R,Colombo 01,"DUTCH HOSPITAL BUILDNE,COLOMBO 01",Restaurants,,"Taphouse By R N R is a Restaurants located in Colombo 01. Address: DUTCH HOSPITAL BUILDNE,COLOMBO 01."
E.A.P.Restaurant,Colombo 08,"NO:20,DR.N.M.PERERA MAWATHA,COLOMBO 08",Restaurants,,"E.A.P.Restaurant is a Restaurants located in Colombo 08. Address: NO:20,DR.N.M.PERERA MAWATHA,COLOMBO 08."
Gawrawa Nethwan,Pannipitiya,"NO:89/1,HIGHLEVEL ROAD,KOTTAWA,PANNIPITIYA",Restaurants,,"Gawrawa Nethwan is a Restaurants located in Pannipitiya. Address: NO:89/1,HIGHLEVEL ROAD,KOTTAWA,PANNIPITIYA."
Seasons,Colombo 3,"250/215,LIBERTY PLAZA,2ND FLOOR,R.A DE MEL MAWATHA,COLOMBO 3",Restaurants,,"Seasons is a Restaurants located in Colombo 3. Address: 250/215,LIBERTY PLAZA,2ND FLOOR,R.A DE MEL MAWATHA,COLOMBO 3."
Sun Flowers Restaurant,Beruwala,"BEACH SIDE,OFF POLICE BUNGLOW ROAD,MORAGALLA,BERUWALA",Restaurants,,"Sun Flowers Restaurant is a Restaurants located in Beruwala. Address: BEACH SIDE,OFF POLICE BUNGLOW ROAD,MORAGALLA,BERUWALA."
Tropical Village Resort,Dambulla,"PALWEHERA,DAMBULLA",Restaurants,,"Tropical Village Resort is a Restaurants located in Dambulla. Address: PALWEHERA,DAMBULLA."
Machan (Pannipitiya),Pannipitiya,"179/5,HIGH LEVEL ROAD,PANNIPITIYA",Restaurants,,"Machan (Pannipitiya) is a Restaurants located in Pannipitiya. Address: 179/5,HIGH LEVEL ROAD,PANNIPITIYA."
Lufortune,Hambantota,"108/1,SIRIBOPURA,HAMBANTOTA",Restaurants,,"Lufortune is a Restaurants located in Hambantota. Address: 108/1,SIRIBOPURA,HAMBANTOTA."
Kinnaree Restaurants,Colombo 1.,"62A, 1ST FLOOR, CHATHAM STREET, COLOMBO 1.",Restaurants,,"Kinnaree Restaurants is a Restaurants located in Colombo 1.. Address: 62A, 1ST FLOOR, CHATHAM STREET, COLOMBO 1.."
La Fiesta Resturant And Bar,Colombo 1,"62/4 CHATHAM STREET FORT,COLOMBO 1",Restaurants,,"La Fiesta Resturant And Bar is a Restaurants located in Colombo 1. Address: 62/4 CHATHAM STREET FORT,COLOMBO 1."
Manje Resturant,Dambulla,"NO 622,ANURADHAPURA ROAD,DAMBULLA",Restaurants,,"Manje Resturant is a Restaurants located in Dambulla. Address: NO 622,ANURADHAPURA ROAD,DAMBULLA."
Jetters,Kaduwela,"NO 103E/4,NEW KANDY ROAD,KOTALAWALA,KADUWELA",Restaurants,,"Jetters is a Restaurants located in Kaduwela. Address: NO 103E/4,NEW KANDY ROAD,KOTALAWALA,KADUWELA."
Jambo Restaurant,Dehiwala,"NATIONAL ZOOLOGICAL GARDEN ,DEHIWALA",Restaurants,,"Jambo Restaurant is a Restaurants located in Dehiwala. Address: NATIONAL ZOOLOGICAL GARDEN ,DEHIWALA."
C Lounge,Colombo,"16/2,SCHOFIELD PLACE,COLOMBO",Restaurants,,"C Lounge is a Restaurants located in Colombo. Address: 16/2,SCHOFIELD PLACE,COLOMBO."
T Lounge By Dilmah,Colombo 1,"62/2,CHATHAM STREET,COLOMBO 1",Restaurants,,"T Lounge By Dilmah is a Restaurants located in Colombo 1. Address: 62/2,CHATHAM STREET,COLOMBO 1."
Shanghai Restaurant,Piliyandala,"NO: 209,HORANA ROAR,PILIYANDALA",Restaurants,,"Shanghai Restaurant is a Restaurants located in Piliyandala. Address: NO: 209,HORANA ROAR,PILIYANDALA."
Prasangika Resturant,Pugoda,"NO 139,KURUSA HANDIYA,PUGODA",Restaurants,,"Prasangika Resturant is a Restaurants located in Pugoda. Address: NO 139,KURUSA HANDIYA,PUGODA."
Channa Resturant,Kegalle,"B 7 ,KANDY ROAD,MEEPITIYA,KEGALLE",Restaurants,,"Channa Resturant is a Restaurants located in Kegalle. Address: B 7 ,KANDY ROAD,MEEPITIYA,KEGALLE."
The Boulevard,Colombo 03,"NO 33,QUEENS ROAD,COLOMBO 03",Restaurants,,"The Boulevard is a Restaurants located in Colombo 03. Address: NO 33,QUEENS ROAD,COLOMBO 03."
Long Teng Chinese Resturant,Warakapola,"NO 347,KANDY ROAD,AMBEPUSSA,WARAKAPOLA",Restaurants,,"Long Teng Chinese Resturant is a Restaurants located in Warakapola. Address: NO 347,KANDY ROAD,AMBEPUSSA,WARAKAPOLA."
Machan (Dambulla),Dambulla,"NO 34,MIRISGONIYA,TRINCO ROAD,DAMBULLA",Restaurants,,"Machan (Dambulla) is a Restaurants located in Dambulla. Address: NO 34,MIRISGONIYA,TRINCO ROAD,DAMBULLA."
Viceroy Special Resturant,Colombo 05,"C/0,JF TOURS,TRAVEL (CEY)LTD,58,HAVLOCK ROASD,COLOMBO 05",Restaurants,,"Viceroy Special Resturant is a Restaurants located in Colombo 05. Address: C/0,JF TOURS,TRAVEL (CEY)LTD,58,HAVLOCK ROASD,COLOMBO 05."
Shirani Restaurant,Colombo 08.,"N0.53/1/1, D.S SENANAYAKE MW, COLOMBO 08.",Restaurants,,"Shirani Restaurant is a Restaurants located in Colombo 08.. Address: N0.53/1/1, D.S SENANAYAKE MW, COLOMBO 08.."
Machan (Ja Ela),Ja Ela,"300.TUDELLA,JA ELA",Restaurants,,"Machan (Ja Ela) is a Restaurants located in Ja Ela. Address: 300.TUDELLA,JA ELA."
Machan (Negambo),Negambo,"21,MINUWANGODA ROAD,NEGAMBO",Restaurants,,"Machan (Negambo) is a Restaurants located in Negambo. Address: 21,MINUWANGODA ROAD,NEGAMBO."
Sea Food Restaurant,Tangalle,"NO 344,MATARA ROAD,TANGALLE",Restaurants,,"Sea Food Restaurant is a Restaurants located in Tangalle. Address: NO 344,MATARA ROAD,TANGALLE."
Tgi Fridays,Colombo 01,"23,CANAL ROW,FORT,COLOMBO 01",Restaurants,,"Tgi Fridays is a Restaurants located in Colombo 01. Address: 23,CANAL ROW,FORT,COLOMBO 01."
Samanala Restaurant (Maho),Maho,"KITULHERAGAMA, NAGOLLAGAMA, MAHO",Restaurants,,"Samanala Restaurant (Maho) is a Restaurants located in Maho. Address: KITULHERAGAMA, NAGOLLAGAMA, MAHO."
Dolce Vita,Negambo,"27,PORUTHOTA ROAD,ETHUKALA,NEGAMBO",Restaurants,,"Dolce Vita is a Restaurants located in Negambo. Address: 27,PORUTHOTA ROAD,ETHUKALA,NEGAMBO."
Amba Sevana Restaurant,Kelaniya,"154/A,KANDY ROAD,DALUGAMA,KELANIYA",Restaurants,,"Amba Sevana Restaurant is a Restaurants located in Kelaniya. Address: 154/A,KANDY ROAD,DALUGAMA,KELANIYA."
Gayans Family Resturant,Mulleriyawa,"296,HOSPITAL ROAD,NEW TOWN,MULLERIYAWA",Restaurants,,"Gayans Family Resturant is a Restaurants located in Mulleriyawa. Address: 296,HOSPITAL ROAD,NEW TOWN,MULLERIYAWA."
Thidas Arana Restaurant,Polonnaruwa,"23RD MILE POST,BENDIWEWA,POLONNARUWA",Restaurants,,"Thidas Arana Restaurant is a Restaurants located in Polonnaruwa. Address: 23RD MILE POST,BENDIWEWA,POLONNARUWA."
Hotel River Island,Wennappuwa.,"CHRISTOPER MAWATHA,WENNAPPUWA.",Restaurants,,"Hotel River Island is a Restaurants located in Wennappuwa.. Address: CHRISTOPER MAWATHA,WENNAPPUWA.."
Sanpaolo Gardens Resturant,Wewnnappuwa,"CHARLES WILLIAM MW,WEWNNAPPUWA",Restaurants,,"Sanpaolo Gardens Resturant is a Restaurants located in Wewnnappuwa. Address: CHARLES WILLIAM MW,WEWNNAPPUWA."
Funky De Bar,Hikkaduwa,"NO:538/2,538/1,WEWALA,GALLE ROAD,HIKKADUWA",Restaurants,,"Funky De Bar is a Restaurants located in Hikkaduwa. Address: NO:538/2,538/1,WEWALA,GALLE ROAD,HIKKADUWA."
Peking Palace,Nawala,"NO:262/A,NAWALA ROAD,NAWALA",Restaurants,,"Peking Palace is a Restaurants located in Nawala. Address: NO:262/A,NAWALA ROAD,NAWALA."
Clique Restaurant,Colombo 02,"505,UNION PLACE,COLOMBO 02",Restaurants,,"Clique Restaurant is a Restaurants located in Colombo 02. Address: 505,UNION PLACE,COLOMBO 02."
Amaravathi Restaurant,Colombo 02,"NO 02,MILE POST AVENUE,COLOMBO 02",Restaurants,,"Amaravathi Restaurant is a Restaurants located in Colombo 02. Address: NO 02,MILE POST AVENUE,COLOMBO 02."
Upalis By Nawaloka,Colombo 07,"NO 65,C.W.W KANNANGARA MW,COLOMBO 07",Restaurants,,"Upalis By Nawaloka is a Restaurants located in Colombo 07. Address: NO 65,C.W.W KANNANGARA MW,COLOMBO 07."
Ibiza Restaurant,Rathmalana,"387 D 2/1 ,GALLE ROAD ,RATHMALANA",Restaurants,,"Ibiza Restaurant is a Restaurants located in Rathmalana. Address: 387 D 2/1 ,GALLE ROAD ,RATHMALANA."
Royal Chines Restaurant,Kekenadura,"NO:12/2,KOSWATTA,RATHMALE RD,KEKENADURA",Restaurants,,"Royal Chines Restaurant is a Restaurants located in Kekenadura. Address: NO:12/2,KOSWATTA,RATHMALE RD,KEKENADURA."
Whighte And Co Cafe,Colombo 03,"24,ALOE AVENUE ,COLOMBO 03",Restaurants,,"Whighte And Co Cafe is a Restaurants located in Colombo 03. Address: 24,ALOE AVENUE ,COLOMBO 03."
Viceroy Ii,Colombo 05,"58,HAVELOCK ROAD,COLOMBO 05",Restaurants,,"Viceroy Ii is a Restaurants located in Colombo 05. Address: 58,HAVELOCK ROAD,COLOMBO 05."
Railway Catering Service,Railway Station Fort.,RAILWAY STATION FORT.,Restaurants,,Railway Catering Service is a Restaurants located in Railway Station Fort.. Address: RAILWAY STATION FORT..
Tranquil Ultra Lounge,Colombo 7,"NO:85B,DHARMAPALA MAWATHA,COLOMBO 7",Restaurants,,"Tranquil Ultra Lounge is a Restaurants located in Colombo 7. Address: NO:85B,DHARMAPALA MAWATHA,COLOMBO 7."
Flamingo House,Colombo 07,"NO 56/5,58 A,HORTON PLACE,COLOMBO 07",Restaurants,,"Flamingo House is a Restaurants located in Colombo 07. Address: NO 56/5,58 A,HORTON PLACE,COLOMBO 07."
Tusker Restaurant,Katuwa,"83, ETHUKALA ROAD, KATUWA",Restaurants,,"Tusker Restaurant is a Restaurants located in Katuwa. Address: 83, ETHUKALA ROAD, KATUWA."
Which Way West-Cafe-Pub-Lounge,Colombo 03,"UNIT L/FF,FIRST FLOOR,THE LIBERTY ARCADE,NO.282 R.A. DE MEL MAWATHA, COLOMBO 03",Restaurants,,"Which Way West-Cafe-Pub-Lounge is a Restaurants located in Colombo 03. Address: UNIT L/FF,FIRST FLOOR,THE LIBERTY ARCADE,NO.282 R.A. DE MEL MAWATHA, COLOMBO 03."
Oro 1889,Colombo 03,"SHOP 5,LEVEZ 2,282 R.A.DE MEL MAWATHA,COLOMBO 03",Restaurants,,"Oro 1889 is a Restaurants located in Colombo 03. Address: SHOP 5,LEVEZ 2,282 R.A.DE MEL MAWATHA,COLOMBO 03."
Lemongrass (Palawatta),Palawatta,"241,PANIPITYA ROAD,PALAWATTA",Restaurants,,"Lemongrass (Palawatta) is a Restaurants located in Palawatta. Address: 241,PANIPITYA ROAD,PALAWATTA."
Nomads & Co,Colombo 7,"NO:66/3,WARD PLACE,COLOMBO 7",Restaurants,,"Nomads & Co is a Restaurants located in Colombo 7. Address: NO:66/3,WARD PLACE,COLOMBO 7."
Wine Connection,Colombo 07.,"NO 30 (SHOP NO 03), INDEPENDENCE SQUARE, COLOMBO 07.",Restaurants,,"Wine Connection is a Restaurants located in Colombo 07.. Address: NO 30 (SHOP NO 03), INDEPENDENCE SQUARE, COLOMBO 07.."
Kaemasutra Resturant,Colombo 07,"NO 30,INDEPENDENCE SQUARE,COLOMBO 07",Restaurants,,"Kaemasutra Resturant is a Restaurants located in Colombo 07. Address: NO 30,INDEPENDENCE SQUARE,COLOMBO 07."
Prego,Negambo,"NO 02E,PORUTHOTA ROAD,NEGAMBO",Restaurants,,"Prego is a Restaurants located in Negambo. Address: NO 02E,PORUTHOTA ROAD,NEGAMBO."
King Taste Resturant,Moratuwa,"NO 04,BANDARANAYAKA MW,KATUBEDDA,MORATUWA",Restaurants,,"King Taste Resturant is a Restaurants located in Moratuwa. Address: NO 04,BANDARANAYAKA MW,KATUBEDDA,MORATUWA."
Cafe Ceylon Restaurant,Ahangama,"MATARA ROAD,KABALANA,AHANGAMA",Restaurants,,"Cafe Ceylon Restaurant is a Restaurants located in Ahangama. Address: MATARA ROAD,KABALANA,AHANGAMA."
Blue Sky Restaurant,Maharagama,"NO:109,DEHIWALA RD,MAHARAGAMA",Restaurants,,"Blue Sky Restaurant is a Restaurants located in Maharagama. Address: NO:109,DEHIWALA RD,MAHARAGAMA."
Miyula Restaurant,Hingula,"KANDY COLOMBO ROAD,PAHALA KADUGANNAWA,HINGULA",Restaurants,,"Miyula Restaurant is a Restaurants located in Hingula. Address: KANDY COLOMBO ROAD,PAHALA KADUGANNAWA,HINGULA."
169 Resturant,Dambulla,"NEW ROAD,NEAR ECONOMIC CENTER,DAMBULLA",Restaurants,,"169 Resturant is a Restaurants located in Dambulla. Address: NEW ROAD,NEAR ECONOMIC CENTER,DAMBULLA."
Senwin Restaurant,Thalgaswala,"NO 266A, MANAMPITA, THALGASWALA",Restaurants,,"Senwin Restaurant is a Restaurants located in Thalgaswala. Address: NO 266A, MANAMPITA, THALGASWALA."
Talpe Beach,Galle,"NO 1042, MATARA ROAD, TALPE, GALLE",Restaurants,,"Talpe Beach is a Restaurants located in Galle. Address: NO 1042, MATARA ROAD, TALPE, GALLE."
Kandoori Restaurant (Colombo),Colombo 06,"17,CHARLIMONT ROAD,COLOMBO 06",Restaurants,,"Kandoori Restaurant (Colombo) is a Restaurants located in Colombo 06. Address: 17,CHARLIMONT ROAD,COLOMBO 06."
The Sushibar Samurai,Negombo,"ETHUKALE,PORUTOTA ROAD,NEGOMBO",Restaurants,,"The Sushibar Samurai is a Restaurants located in Negombo. Address: ETHUKALE,PORUTOTA ROAD,NEGOMBO."
Tsukiji Uoichi,Colombo 07,"WP 07,NO 30, ARCADE INDEPENDANCE SQUARE,COLOMBO 07",Restaurants,,"Tsukiji Uoichi is a Restaurants located in Colombo 07. Address: WP 07,NO 30, ARCADE INDEPENDANCE SQUARE,COLOMBO 07."
Yuzhenge Restaurant,Colombo 07,"51C,ALEXANDRA PLACE,COLOMBO 07",Restaurants,,"Yuzhenge Restaurant is a Restaurants located in Colombo 07. Address: 51C,ALEXANDRA PLACE,COLOMBO 07."
Singharaja,Aluthgama,"120,GALLE ROAD KALUEAMODARA,ALUTHGAMA",Restaurants,,"Singharaja is a Restaurants located in Aluthgama. Address: 120,GALLE ROAD KALUEAMODARA,ALUTHGAMA."
City Restaurant,Mullaitivu,"MANATKUDIYIRUPPU,MULLAITIVU",Restaurants,,"City Restaurant is a Restaurants located in Mullaitivu. Address: MANATKUDIYIRUPPU,MULLAITIVU."
Taphouse By Rnr,Galle,"SHOP NO- GF 07,DUTCH HOSPITAL SHOPPING PRECINT,GALLE FORT,GALLE",Restaurants,,"Taphouse By Rnr is a Restaurants located in Galle. Address: SHOP NO- GF 07,DUTCH HOSPITAL SHOPPING PRECINT,GALLE FORT,GALLE."
